Numbering,Author,Title,filename
1,Jacob Abbott,Caleb in the Country,abbott_1
2,Jacob Abbott,Charles I,abbott_2
3,Jacob Abbott,Cleopatra,abbott_3
4,Jacob Abbott,Cyrus the Great,abbott_4
5,Jacob Abbott,Darius the Great,abbott_5
6,Jane Austen,Northanger Abbey,austen_1
7,Jane Austen,Emma,austen_2
8,Jane Austen,Mansfield Park,austen_3
9,Jane Austen,Pride and Prejudice,austen_4
10,Jane Austen,Sense and Sensibility,austen_5
11,Christopher Marlowe,Edward the Second,marlowe_1
12,Christopher Marlowe,The Tragical History of Doctor Faustus,marlowe_2
13,Christopher Marlowe,The Jew of Malta,marlowe_3
14,Christopher Marlowe,Massacre at Paris,marlowe_4
15,Christopher Marlowe,Hero and Leander and Other Poems,marlowe_5
16,William Shakespeare,Hamlet,shakespeare_1
17,William Shakespeare,Henry VIII,shakespeare_2
18,William Shakespeare,Julius Cesar,shakespeare_3
19,William Shakespeare,King Lear,shakespeare_4
20,William Shakespeare,Romeo and Juliet,shakespeare_5
21,Mark Twain,Adventures of Huckleberry Finn,twain_1
22,Mark Twain,A Horse's Tale,twain_2
23,Mark Twain,The Innocents Abroad,twain_3
24,Mark Twain,The Adventures of Tom Sawyer,twain_4
25,Mark Twain,A Tramp Abroad,twain_5
